data_type,date,price_kes,competitor,availability,your_base_price,price_difference_from_yours,predicted_price_kes,recommendation
historical,2025-09-01,190.53,City View Apartments,Good Availability,6500.0,6309.47,,
historical,2025-09-02,268.08,City View Apartments,Available,6500.0,6231.92,,
historical,2025-09-02,177.35,Uptown Apartments,Good Availability,6500.0,6322.65,,
historical,2025-09-02,194.58,Metropolitan Living,Available,6500.0,6305.42,,
historical,2025-09-02,178.35,Downtown Suites,Limited,6500.0,6321.65,,
historical,2025-09-03,277.34,Metropolitan Living,Last Unit,6500.0,6222.66,,
historical,2025-09-03,129.8,LuxuryStays Inc,Good Availability,6500.0,6370.2,,
historical,2025-09-03,154.99,Harbor View Homes,Available,6500.0,6345.01,,
historical,2025-09-03,288.76,City View Apartments,Good Availability,6500.0,6211.24,,
historical,2025-09-04,313.12,Metropolitan Living,Limited,6500.0,6186.88,,
historical,2025-09-04,285.48,Uptown Apartments,Good Availability,6500.0,6214.52,,
historical,2025-09-04,291.08,Skyline Rentals,Available,6500.0,6208.92,,
historical,2025-09-04,264.85,Riverside Condos,Good Availability,6500.0,6235.15,,
historical,2025-09-05,285.2,Riverside Condos,Limited,6500.0,6214.8,,
historical,2025-09-05,152.55,Elite Properties,Limited,6500.0,6347.45,,
historical,2025-09-05,147.08,LuxuryStays Inc,Limited,6500.0,6352.92,,
historical,2025-09-05,223.49,Premium Rentals,Last Unit,6500.0,6276.51,,
historical,2025-09-06,128.72,City View Apartments,Limited,6500.0,6371.28,,
historical,2025-09-06,204.94,Parkside Residences,Last Unit,6500.0,6295.06,,
historical,2025-09-06,215.85,Garden District Properties,Last Unit,6500.0,6284.15,,
historical,2025-09-06,194.73,Premium Rentals,Good Availability,6500.0,6305.27,,
historical,2025-09-07,161.92,Garden District Properties,Limited,6500.0,6338.08,,
historical,2025-09-07,225.33,Riverside Condos,Last Unit,6500.0,6274.67,,
historical,2025-09-07,168.23,City View Apartments,Limited,6500.0,6331.77,,
historical,2025-09-07,211.19,Downtown Suites,Available,6500.0,6288.81,,
historical,2025-09-08,137.77,Skyline Rentals,Available,6500.0,6362.23,,
historical,2025-09-08,135.41,Garden District Properties,Good Availability,6500.0,6364.59,,
historical,2025-09-08,139.28,Harbor View Homes,Available,6500.0,6360.72,,
historical,2025-09-08,220.54,Metropolitan Living,Limited,6500.0,6279.46,,
historical,2025-09-09,213.45,Metropolitan Living,Last Unit,6500.0,6286.55,,
historical,2025-09-09,181.4,Parkside Residences,Available,6500.0,6318.6,,
historical,2025-09-09,165.81,Harbor View Homes,Last Unit,6500.0,6334.19,,
historical,2025-09-09,228.8,Elite Properties,Available,6500.0,6271.2,,
historical,2025-09-10,238.13,LuxuryStays Inc,Limited,6500.0,6261.87,,
historical,2025-09-10,277.63,Riverside Condos,Good Availability,6500.0,6222.37,,
historical,2025-09-10,157.07,Garden District Properties,Last Unit,6500.0,6342.93,,
historical,2025-09-10,252.08,Elite Properties,Available,6500.0,6247.92,,
historical,2025-09-11,237.12,Urban Living Co,Available,6500.0,6262.88,,
historical,2025-09-11,249.74,City View Apartments,Last Unit,6500.0,6250.26,,
historical,2025-09-11,287.24,Metro Homes,Good Availability,6500.0,6212.76,,
historical,2025-09-11,285.87,Premium Rentals,Available,6500.0,6214.13,,
historical,2025-09-12,267.41,Elite Properties,Last Unit,6500.0,6232.59,,
historical,2025-09-12,289.43,Premium Rentals,Limited,6500.0,6210.57,,
historical,2025-09-12,257.57,Parkside Residences,Last Unit,6500.0,6242.43,,
historical,2025-09-12,242.16,Metropolitan Living,Good Availability,6500.0,6257.84,,
historical,2025-09-13,161.9,Uptown Apartments,Available,6500.0,6338.1,,
historical,2025-09-13,196.65,Elite Properties,Last Unit,6500.0,6303.35,,
historical,2025-09-13,269.52,City View Apartments,Last Unit,6500.0,6230.48,,
historical,2025-09-13,265.21,Skyline Rentals,Good Availability,6500.0,6234.79,,
historical,2025-09-14,286.11,Harbor View Homes,Available,6500.0,6213.89,,
historical,2025-09-14,268.99,Metropolitan Living,Last Unit,6500.0,6231.01,,
historical,2025-09-14,281.45,LuxuryStays Inc,Good Availability,6500.0,6218.55,,
historical,2025-09-14,128.73,Uptown Apartments,Good Availability,6500.0,6371.27,,
historical,2025-09-15,201.25,Urban Living Co,Limited,6500.0,6298.75,,
historical,2025-09-15,130.5,Downtown Suites,Limited,6500.0,6369.5,,
historical,2025-09-15,309.99,Uptown Apartments,Limited,6500.0,6190.01,,
historical,2025-09-15,162.41,City View Apartments,Good Availability,6500.0,6337.59,,
historical,2025-09-16,275.74,City View Apartments,Available,6500.0,6224.26,,
historical,2025-09-16,196.15,Urban Living Co,Last Unit,6500.0,6303.85,,
historical,2025-09-16,243.18,Elite Properties,Last Unit,6500.0,6256.82,,
historical,2025-09-16,202.67,Parkside Residences,Limited,6500.0,6297.33,,
historical,2025-09-17,186.32,Premium Rentals,Last Unit,6500.0,6313.68,,
historical,2025-09-17,159.08,Metro Homes,Limited,6500.0,6340.92,,
historical,2025-09-17,212.05,Riverside Condos,Last Unit,6500.0,6287.95,,
historical,2025-09-17,173.37,Elite Properties,Limited,6500.0,6326.63,,
historical,2025-09-18,283.14,Skyline Rentals,Last Unit,6500.0,6216.86,,
historical,2025-09-18,162.28,Metropolitan Living,Available,6500.0,6337.72,,
historical,2025-09-18,259.36,City View Apartments,Good Availability,6500.0,6240.64,,
historical,2025-09-18,170.34,Parkside Residences,Limited,6500.0,6329.66,,
historical,2025-09-19,179.03,Riverside Condos,Good Availability,6500.0,6320.97,,
historical,2025-09-19,270.75,City View Apartments,Good Availability,6500.0,6229.25,,
historical,2025-09-19,141.06,Uptown Apartments,Good Availability,6500.0,6358.94,,
historical,2025-09-19,207.98,Metro Homes,Last Unit,6500.0,6292.02,,
historical,2025-09-20,190.3,Garden District Properties,Available,6500.0,6309.7,,
historical,2025-09-20,207.55,Metropolitan Living,Limited,6500.0,6292.45,,
historical,2025-09-20,181.88,Parkside Residences,Good Availability,6500.0,6318.12,,
historical,2025-09-20,204.25,City View Apartments,Available,6500.0,6295.75,,
historical,2025-09-21,232.82,Uptown Apartments,Available,6500.0,6267.18,,
historical,2025-09-21,266.01,Parkside Residences,Good Availability,6500.0,6233.99,,
historical,2025-09-21,156.86,Harbor View Homes,Available,6500.0,6343.14,,
historical,2025-09-21,190.81,Elite Properties,Available,6500.0,6309.19,,
historical,2025-09-22,176.38,Premium Rentals,Good Availability,6500.0,6323.62,,
historical,2025-09-22,136.17,Downtown Suites,Limited,6500.0,6363.83,,
historical,2025-09-22,268.46,Parkside Residences,Good Availability,6500.0,6231.54,,
historical,2025-09-22,211.01,LuxuryStays Inc,Good Availability,6500.0,6288.99,,
historical,2025-09-23,173.93,Riverside Condos,Available,6500.0,6326.07,,
historical,2025-09-23,137.89,LuxuryStays Inc,Last Unit,6500.0,6362.11,,
historical,2025-09-23,261.94,Elite Properties,Last Unit,6500.0,6238.06,,
historical,2025-09-23,194.31,Garden District Properties,Last Unit,6500.0,6305.69,,
historical,2025-09-24,263.66,Metro Homes,Last Unit,6500.0,6236.34,,
historical,2025-09-24,166.3,Urban Living Co,Available,6500.0,6333.7,,
historical,2025-09-24,243.48,Metropolitan Living,Good Availability,6500.0,6256.52,,
historical,2025-09-24,164.87,Uptown Apartments,Available,6500.0,6335.13,,
historical,2025-09-25,174.47,Harbor View Homes,Limited,6500.0,6325.53,,
historical,2025-09-25,251.79,Metropolitan Living,Good Availability,6500.0,6248.21,,
historical,2025-09-25,203.59,Garden District Properties,Available,6500.0,6296.41,,
historical,2025-09-25,167.05,Metro Homes,Limited,6500.0,6332.95,,
historical,2025-09-26,144.43,Parkside Residences,Good Availability,6500.0,6355.57,,
historical,2025-09-26,132.94,Harbor View Homes,Available,6500.0,6367.06,,
historical,2025-09-26,121.49,Metropolitan Living,Good Availability,6500.0,6378.51,,
historical,2025-09-26,219.14,Metro Homes,Limited,6500.0,6280.86,,
historical,2025-09-27,223.17,Downtown Suites,Available,6500.0,6276.83,,
historical,2025-09-27,139.9,Metropolitan Living,Good Availability,6500.0,6360.1,,
historical,2025-09-27,281.74,Harbor View Homes,Good Availability,6500.0,6218.26,,
historical,2025-09-27,160.42,Metro Homes,Last Unit,6500.0,6339.58,,
historical,2025-09-28,157.35,Urban Living Co,Last Unit,6500.0,6342.65,,
historical,2025-09-28,258.44,Downtown Suites,Last Unit,6500.0,6241.56,,
historical,2025-09-28,185.71,Premium Rentals,Last Unit,6500.0,6314.29,,
historical,2025-09-28,240.32,Uptown Apartments,Good Availability,6500.0,6259.68,,
historical,2025-09-29,121.74,Parkside Residences,Last Unit,6500.0,6378.26,,
historical,2025-09-29,191.27,Riverside Condos,Last Unit,6500.0,6308.73,,
historical,2025-09-29,241.3,Garden District Properties,Last Unit,6500.0,6258.7,,
historical,2025-09-29,231.14,Elite Properties,Available,6500.0,6268.86,,
historical,2025-09-30,178.76,Metro Homes,Limited,6500.0,6321.24,,
historical,2025-09-30,251.29,Elite Properties,Available,6500.0,6248.71,,
historical,2025-09-30,249.53,Downtown Suites,Available,6500.0,6250.47,,
historical,2025-09-30,155.6,City View Apartments,Last Unit,6500.0,6344.4,,
historical,2025-10-01,191.79,Metropolitan Living,Limited,6500.0,6308.21,,
historical,2025-10-01,235.41,Elite Properties,Good Availability,6500.0,6264.59,,
historical,2025-10-01,237.18,City View Apartments,Last Unit,6500.0,6262.82,,
historical,2025-10-01,155.06,Downtown Suites,Available,6500.0,6344.94,,
historical,2025-10-02,224.71,City View Apartments,Good Availability,6500.0,6275.29,,
historical,2025-10-02,126.76,Parkside Residences,Limited,6500.0,6373.24,,
historical,2025-10-02,270.17,Urban Living Co,Limited,6500.0,6229.83,,
historical,2025-10-02,286.45,Harbor View Homes,Limited,6500.0,6213.55,,
historical,2025-10-03,167.35,Elite Properties,Available,6500.0,6332.65,,
historical,2025-10-03,207.52,Metropolitan Living,Available,6500.0,6292.48,,
historical,2025-10-03,240.28,Premium Rentals,Available,6500.0,6259.72,,
historical,2025-10-03,170.0,Garden District Properties,Available,6500.0,6330.0,,
historical,2025-10-04,237.1,City View Apartments,Limited,6500.0,6262.9,,
historical,2025-10-04,172.05,Harbor View Homes,Last Unit,6500.0,6327.95,,
historical,2025-10-04,260.28,LuxuryStays Inc,Good Availability,6500.0,6239.72,,
historical,2025-10-04,232.64,Metro Homes,Last Unit,6500.0,6267.36,,
historical,2025-10-05,230.06,Metropolitan Living,Good Availability,6500.0,6269.94,,
historical,2025-10-05,172.38,Urban Living Co,Available,6500.0,6327.62,,
historical,2025-10-05,170.03,Riverside Condos,Available,6500.0,6329.97,,
historical,2025-10-05,244.81,Parkside Residences,Last Unit,6500.0,6255.19,,
historical,2025-10-06,287.64,Uptown Apartments,Last Unit,6500.0,6212.36,,
historical,2025-10-06,245.28,Urban Living Co,Last Unit,6500.0,6254.72,,
historical,2025-10-06,141.25,Riverside Condos,Limited,6500.0,6358.75,,
historical,2025-10-06,240.82,Garden District Properties,Last Unit,6500.0,6259.18,,
historical,2025-10-07,255.97,Urban Living Co,Last Unit,6500.0,6244.03,,
historical,2025-10-07,235.27,Metropolitan Living,Available,6500.0,6264.73,,
historical,2025-10-07,215.25,Riverside Condos,Good Availability,6500.0,6284.75,,
historical,2025-10-07,240.17,Premium Rentals,Available,6500.0,6259.83,,
historical,2025-10-08,236.53,Uptown Apartments,Available,6500.0,6263.47,,
historical,2025-10-08,155.92,City View Apartments,Good Availability,6500.0,6344.08,,
historical,2025-10-08,185.12,Riverside Condos,Last Unit,6500.0,6314.88,,
historical,2025-10-08,278.71,Metro Homes,Last Unit,6500.0,6221.29,,
historical,2025-10-09,225.12,Parkside Residences,Last Unit,6500.0,6274.88,,
historical,2025-10-09,299.52,Garden District Properties,Available,6500.0,6200.48,,
historical,2025-10-09,159.0,City View Apartments,Available,6500.0,6341.0,,
historical,2025-10-09,280.21,Harbor View Homes,Good Availability,6500.0,6219.79,,
historical,2025-10-10,293.2,LuxuryStays Inc,Available,6500.0,6206.8,,
historical,2025-10-10,231.44,Metropolitan Living,Good Availability,6500.0,6268.56,,
historical,2025-10-10,136.81,Harbor View Homes,Limited,6500.0,6363.19,,
historical,2025-10-10,260.97,Garden District Properties,Good Availability,6500.0,6239.03,,
historical,2025-10-11,216.95,Elite Properties,Good Availability,6500.0,6283.05,,
historical,2025-10-11,268.76,Urban Living Co,Good Availability,6500.0,6231.24,,
historical,2025-10-11,199.12,Uptown Apartments,Available,6500.0,6300.88,,
historical,2025-10-11,205.87,Parkside Residences,Good Availability,6500.0,6294.13,,
historical,2025-10-12,221.34,Premium Rentals,Last Unit,6500.0,6278.66,,
historical,2025-10-12,245.55,Downtown Suites,Last Unit,6500.0,6254.45,,
historical,2025-10-12,167.0,Skyline Rentals,Good Availability,6500.0,6333.0,,
historical,2025-10-12,133.24,Metropolitan Living,Last Unit,6500.0,6366.76,,
historical,2025-10-13,124.56,LuxuryStays Inc,Good Availability,6500.0,6375.44,,
historical,2025-10-13,187.51,Parkside Residences,Limited,6500.0,6312.49,,
historical,2025-10-13,214.25,Urban Living Co,Limited,6500.0,6285.75,,
historical,2025-10-13,197.74,Downtown Suites,Last Unit,6500.0,6302.26,,
historical,2025-10-14,246.19,LuxuryStays Inc,Good Availability,6500.0,6253.81,,
historical,2025-10-14,257.6,Harbor View Homes,Available,6500.0,6242.4,,
historical,2025-10-14,172.3,Garden District Properties,Good Availability,6500.0,6327.7,,
historical,2025-10-14,229.74,City View Apartments,Good Availability,6500.0,6270.26,,
